time,sins_x,sins_y,x,y,z,ve,vn,vu,sins_pitch,sins_roll,sins_yaw,pitch,roll,yaw,gnss_mode,frame_type,measure_type,is_have_var,var_0,var_1,var_2,var_3,var_4,var_5,var_6,var_7,var_8,var_9,fb_0,fb_1,fb_2,wibb_0,wibb_1,wibb_2,type
1514423750.313056,-2.129498047474876,0.6529065080736834,-122.0112506016598,37.40878732924627,-29.308008694003,0.0,0.0,0.0,0.0,0.0,-2.515063304688893,0.0,0.0,-144.102512566899,0.0,2.0,4.0,1.0,0.0008635369970602812,0.0004116341747018969,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423750.513159,-2.129498037556321,0.652906496802722,-122.0112500333684,37.40878668346775,-29.30727798154368,0.0,0.0,0.0,0.0,0.0,-2.51438346103635,0.0,0.0,-144.0635603948795,0.0,2.0,4.0,1.0,0.001220326495405243,0.0009720521805120022,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423750.713262,-2.129498028227734,0.6529064868191595,-122.0112494988798,37.40878611145175,-29.30711437240438,0.0,0.0,0.0,0.0,0.0,-2.513963217142618,0.0,0.0,-144.0394821934025,0.0,2.0,4.0,1.0,0.001771828030803951,0.00155086398781576,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423750.913363,-2.129498022781524,0.6529064808150008,-122.0112491868349,37.4087857674388,-29.30694107637356,0.0,0.0,0.0,0.0,0.0,-2.513135358329814,0.0,0.0,-143.9920493773961,0.0,2.0,4.0,1.0,0.0007526063669377208,0.0005839845763173826,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423751.113478,-2.129498019266181,0.652906476498132,-122.0112489854206,37.40878552010044,-29.30676869541198,0.0,0.0,0.0,0.0,0.0,-2.51271855348537,0.0,0.0,-143.9681682189289,0.0,2.0,4.0,1.0,0.0004860481282433056,0.0004437646640167423,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423751.313581,-2.12949801848941,0.6529064755577404,-122.0112489409149,37.40878546621997,-29.30396799864883,0.0,0.0,0.0,0.0,0.0,-2.512950758754182,0.0,0.0,-143.9814726008125,0.0,2.0,4.0,1.0,0.0003350227066707264,0.00035802743411332,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423751.513684,-2.129498019170536,0.6529064764898924,-122.0112489799406,37.40878551962835,-29.30788666810199,0.0,0.0,0.0,0.0,0.0,-2.512367182053725,0.0,0.0,-143.9480361188542,0.0,2.0,4.0,1.0,0.0004102149553422535,0.0003017487346469947,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423751.713787,-2.129498018149795,0.6529064756164243,-122.0112489214565,37.40878546958231,-29.30625512422183,0.0,0.0,0.0,0.0,0.0,-2.512965268034675,0.0,0.0,-143.9823039213486,0.0,2.0,4.0,1.0,0.0005002425454636273,0.0004095793456277832,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423751.913888,-2.129498018185243,0.6529064753658615,-122.0112489234874,37.40878545522612,-29.30610255314163,0.0,0.0,0.0,0.0,0.0,-2.512809486075182,0.0,0.0,-143.9733782725453,0.0,2.0,4.0,1.0,0.0001532784682172885,0.0002139557095827156,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423752.113997,-2.129498017702831,0.6529064748089741,-122.0112488958473,37.40878542331882,-29.30496469111202,0.0,0.0,0.0,0.0,0.0,-2.513295821270841,0.0,0.0,-144.0012432266853,0.0,2.0,4.0,1.0,8.789877246250044e-05,0.0001449530786429049,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423752.314101,-2.129498017033261,0.6529064743627171,-122.0112488574838,37.40878539775017,-29.30496115279032,0.0,0.0,0.0,0.0,0.0,-2.513405651444967,0.0,0.0,-144.0075360321259,0.0,2.0,4.0,1.0,7.785647283062003e-05,9.860062973566735e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423752.514203,-2.129498016109731,0.6529064736752486,-122.0112488045694,37.40878535836113,-29.30420839672504,0.0,0.0,0.0,0.0,0.0,-2.512884214544195,0.0,0.0,-143.9776598984293,0.0,2.0,4.0,1.0,2.299033847369617e-05,5.88417864344592e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423752.714305,-2.129498014820454,0.6529064729822853,-122.0112487306993,37.40878531865726,-29.30384467218153,0.0,0.0,0.0,0.0,0.0,-2.513019098179669,0.0,0.0,-143.9853881614673,0.0,2.0,4.0,1.0,4.02396765993609e-06,4.30365202489792e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423752.914407,-2.129498012279174,0.6529064720623534,-122.0112485850946,37.40878526594904,-29.30250631568395,0.0,0.0,0.0,0.0,0.0,-2.513108657753686,0.0,0.0,-143.9905195470735,0.0,2.0,4.0,1.0,2.158305991038381e-06,2.285184814656009e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423753.114516,-2.129498008864223,0.6529064709993886,-122.0112483894324,37.40878520504565,-29.3017472146156,0.0,0.0,0.0,0.0,0.0,-2.513286606441667,0.0,0.0,-144.0007152558646,0.0,2.0,4.0,1.0,2.430357140161392e-06,2.969908051357367e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423753.314619,-2.129498005278661,0.6529064698694126,-122.0112481839948,37.40878514030279,-29.30183969661379,0.0,0.0,0.0,0.0,0.0,-2.513339597971435,0.0,0.0,-144.0037514468703,0.0,2.0,4.0,1.0,4.507851688004529e-06,2.562286398136619e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423753.51472,-2.129498002139422,0.6529064688496271,-122.0112480041296,37.40878508187339,-29.26168733416352,0.0,0.0,0.0,0.0,0.0,-2.512577113703354,0.0,0.0,-143.9600643163641,0.0,2.0,4.0,1.0,0.0001522144441416308,6.084288676826779e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423753.714823,-2.129498004312748,0.6529064689920709,-122.0112481286521,37.40878509003482,-29.30154009386444,0.0,0.0,0.0,0.0,0.0,-2.512606917315211,0.0,0.0,-143.9617719375378,0.0,2.0,4.0,1.0,0.002472921707521909,0.0006778429225460365,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423753.914926,-2.129498004906127,0.6529064688741534,-122.0112481626501,37.40878508327864,-29.30161460319765,0.0,0.0,0.0,0.0,0.0,-2.512689758317881,0.0,0.0,-143.9665183773614,0.0,2.0,4.0,1.0,0.001958338145482423,0.0006631837033076177,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423754.115026,-2.129498003915283,0.6529064684583467,-122.011248105879,37.40878505945467,-29.30164194753294,0.0,0.0,0.0,0.0,0.0,-2.5126537338235,0.0,0.0,-143.9644543258743,0.0,2.0,4.0,1.0,0.00138816992520566,0.000486673826888443,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423754.31513,-2.129498003611507,0.6529064679459439,-122.0112480884739,37.40878503009615,-29.30193403635089,0.0,0.0,0.0,0.0,0.0,-2.512784157306215,0.0,0.0,-143.9719270409833,0.0,2.0,4.0,1.0,0.001762519663521491,0.0004273334808167293,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423754.515232,-2.12949800723756,0.6529064683630805,-122.0112482962314,37.40878505399632,-29.30235181467427,0.0,0.0,0.0,0.0,0.0,-2.513027636015519,0.0,0.0,-143.9858773434277,0.0,2.0,4.0,1.0,0.003315003705921744,0.0008837497292402157,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423754.715334,-2.12949800703189,0.652906468505199,-122.0112482844474,37.40878506213911,-29.302938283147,0.0,0.0,0.0,0.0,0.0,-2.512397824387478,0.0,0.0,-143.9497917952527,0.0,2.0,4.0,1.0,0.001971576597165839,0.0007196972959243786,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423754.915437,-2.129498003819204,0.6529064681937528,-122.011248100374,37.40878504429455,-29.30337890357969,0.0,0.0,0.0,0.0,0.0,-2.512454141295911,0.0,0.0,-143.9530185164211,0.0,2.0,4.0,1.0,0.0006565967397251603,0.0003438463338592289,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423755.115552,-2.129498002290637,0.6529064683462308,-122.0112480127936,37.4087850530309,-29.26402426453474,0.0,0.0,0.0,0.0,0.0,-2.512317923286122,0.0,0.0,-143.9452137993665,0.0,2.0,4.0,1.0,0.001367519472688014,0.0005480996059384203,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423755.315655,-2.129498006999354,0.6529064706690094,-122.0112482825832,37.40878518611631,-29.30554012774623,0.0,0.0,0.0,0.0,0.0,-2.51263541316716,0.0,0.0,-143.9634046295881,0.0,2.0,4.0,1.0,0.003494673647270674,0.001787097603710134,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
1514423755.515758,-2.12949800349072,0.6529064704498695,-122.0112480815533,37.40878517356052,-29.30620947093468,0.0,0.0,0.0,0.0,0.0,-2.51313470469522,0.0,0.0,-143.9920119268926,0.0,2.0,4.0,1.0,0.0002340153102766369,4.887619848263362e-05,0.0009,0.0,0.0,0.0,0.0,0.0,6.853891945200711e-06,0.0,,,,,,,lidar
