Time_us,x,y,z,roll,pitch,yaw,V_x,V_y,V_z,Gyro_x,Gyro_y,Gyro_z
1152872,-0.01191111,0.008919023,-1.446123,-0.002224871,-0.003830997,0.01883944,0.007518165,-0.005539143,-1.980442,0.00415374,0.01032665,0.0008130064
1155371,-0.01189604,0.0089082,-1.450084,-0.002217182,-0.003813001,0.01883767,0.007553251,-0.005283438,-1.98085,0.004182642,0.01024601,0.0007947714
1157870,-0.0118729,0.008891576,-1.456028,-0.002205448,-0.003785164,0.01883721,0.00787308,-0.005799343,-1.98148,0.004241053,0.01012894,0.0007550437
1160369,-0.01185706,0.008879624,-1.459991,-0.002199081,-0.003766993,0.01883544,0.007959169,-0.006152538,-1.98203,0.004270304,0.01005886,0.0007238064
1162868,-0.01183267,0.00886024,-1.465938,-0.0021879,-0.003739306,0.01883471,0.008301836,-0.006770588,-1.982404,0.004286879,0.00995857,0.0006982295
1165367,-0.0114993,0.008586274,-1.470652,-0.002181813,-0.00372093,0.01883192,0.008280255,-0.00697644,-1.982762,0.004279272,0.009897877,0.0006860817
1167866,-0.01147491,0.008565105,-1.476602,-0.00217011,-0.003693647,0.01883009,0.00797922,-0.007135788,-1.98353,0.004254488,0.009823933,0.0006410755
1170365,-0.01145905,0.008551022,-1.480569,-0.002163041,-0.003675925,0.01882835,0.007873119,-0.006947678,-1.984125,0.004240762,0.009779915,0.0006046997
1172864,-0.01143533,0.008529863,-1.486522,-0.00215213,-0.003649615,0.01882796,0.007940907,-0.00715805,-1.984234,0.004223921,0.009702101,0.0005555664
1175363,-0.0114195,0.008515692,-1.49049,-0.002144471,-0.003631312,0.01882678,0.007890078,-0.00701309,-1.983884,0.004215543,0.009647503,0.0005447114
1177862,-0.01109325,0.008245266,-1.49716,-0.002131977,-0.003606364,0.01882607,0.007798862,-0.007740514,-1.984241,0.004231102,0.00956524,0.0005627846
1180361,-0.01107736,0.008229713,-1.501129,-0.002124422,-0.003589712,0.01882527,0.008091997,-0.00781267,-1.984788,0.004246881,0.009486945,0.000593593
1182860,-0.01105299,0.008206376,-1.507084,-0.00211294,-0.003563951,0.01882558,0.008148242,-0.007745625,-1.985074,0.004279749,0.009374063,0.0006517441
1185359,-0.01103648,0.008191121,-1.511055,-0.002104215,-0.003548115,0.01882398,0.008364824,-0.007509753,-1.985772,0.004317539,0.009288516,0.0006866258
1187858,-0.01101121,0.008168802,-1.517013,-0.002091227,-0.00352305,0.01882267,0.008481125,-0.00736996,-1.986238,0.004382461,0.009149846,0.0007245416
1190357,-0.01070585,0.007917638,-1.521673,-0.002082913,-0.003507205,0.01882046,0.008684045,-0.007514484,-1.98686,0.004429363,0.009065745,0.0007299738
1192856,-0.01068057,0.007894626,-1.527634,-0.002068537,-0.003481669,0.01881968,0.008166486,-0.007827125,-1.986934,0.004532434,0.008949336,0.0007027948
1195355,-0.01066421,0.007879266,-1.531608,-0.00205912,-0.003464013,0.01881926,0.008194024,-0.007532896,-1.98704,0.004615636,0.008896875,0.0006848142
1197854,-0.01064028,0.007856787,-1.537569,-0.002044028,-0.003440088,0.01881909,0.007763303,-0.007452957,-1.987249,0.004752722,0.008844612,0.0006790137
1200353,-0.01062542,0.007841368,-1.541544,-0.002034361,-0.003423858,0.01881693,0.007093458,-0.007966389,-1.987418,0.004851371,0.00881125,0.0006781818
1202852,-0.01032897,0.007592597,-1.548165,-0.002018465,-0.003398623,0.01881608,0.00706939,-0.007746273,-1.987645,0.005027629,0.008786051,0.0006786174
1205351,-0.01031506,0.00757719,-1.552141,-0.002007514,-0.003382267,0.01881485,0.006841043,-0.007659948,-1.987974,0.005146792,0.008764166,0.0006707521
1207850,-0.01029417,0.007554784,-1.558106,-0.001991089,-0.003358655,0.01881535,0.00708404,-0.007277496,-1.988511,0.00532393,0.008718919,0.0006419258
1210349,-0.01027986,0.007540484,-1.562083,-0.001980907,-0.003343358,0.01881479,0.007226126,-0.007022097,-1.98905,0.00543948,0.008685168,0.0006430148
1212848,-0.01025791,0.007518923,-1.568051,-0.00196476,-0.003320109,0.01881548,0.007408333,-0.00735218,-1.989177,0.005581638,0.008617092,0.0006733368
1215347,-0.009981285,0.007289967,-1.57266,-0.001953589,-0.003305655,0.01881475,0.007342462,-0.007566417,-1.989721,0.005660383,0.008541821,0.0007082863
1217846,-0.009959836,0.007267886,-1.578629,-0.001936562,-0.003282679,0.01881492,0.006956671,-0.007154569,-1.989497,0.005768159,0.008423731,0.0007642371
1220345,-0.00994609,0.00725346,-1.582608,-0.001924832,-0.003268213,0.01881515,0.006790037,-0.00727218,-1.989608,0.005837859,0.008339537,0.0008005829
1222844,-0.009926134,0.007231722,-1.588577,-0.001906491,-0.003245413,0.01881443,0.006513983,-0.007219892,-1.989604,0.005959133,0.008206174,0.0008460678
1225343,-0.009912786,0.007217181,-1.592556,-0.001894685,-0.003229854,0.01881436,0.0068337,-0.007320807,-1.989897,0.006044011,0.008138299,0.0008610309
1227842,-0.009642683,0.006991291,-1.599131,-0.001875717,-0.003207383,0.01881444,0.006761904,-0.007260166,-1.990485,0.006174651,0.008059166,0.0008864418
1230341,-0.009629248,0.006976994,-1.603112,-0.001863662,-0.003192026,0.01881404,0.006673661,-0.007036824,-1.99064,0.006256567,0.008024078,0.0008894714
1232840,-0.009608552,0.006955546,-1.609085,-0.00184573,-0.003170097,0.01881449,0.007123764,-0.007261933,-1.991153,0.006366299,0.007986577,0.0008860243
1235339,-0.009593908,0.006940749,-1.613067,-0.001834654,-0.003156187,0.01881369,0.007520618,-0.007536058,-1.991002,0.006415214,0.007954562,0.0008825638
1237838,-0.0095717,0.006918265,-1.619041,-0.001815635,-0.003134994,0.01881405,0.007284418,-0.007453197,-1.99174,0.006463875,0.00788296,0.0008676386
1240337,-0.009319518,0.006709425,-1.624013,-0.00180329,-0.003121839,0.01881246,0.007614541,-0.007590975,-1.992245,0.006486036,0.007817871,0.0008486329
1242836,-0.009296506,0.006687695,-1.62999,-0.00178386,-0.003100874,0.01881353,0.007726784,-0.006895756,-1.992672,0.006518929,0.007709539,0.0008293056
1245335,-0.009280775,0.006673536,-1.633976,-0.001771254,-0.003087575,0.01881292,0.008004008,-0.007263217,-1.992912,0.006556389,0.007633455,0.0008406189
1247834,-0.009257683,0.006651535,-1.639955,-0.001751304,-0.003068489,0.01881278,0.007391024,-0.007404207,-1.993224,0.006634936,0.007509073,0.0008711502
1250333,-0.009242782,0.006637088,-1.643942,-0.00173934,-0.003057635,0.01881235,0.007509092,-0.00704298,-1.993396,0.006685855,0.007402264,0.0009082084
1252832,-0.008994762,0.006431537,-1.650869,-0.001719854,-0.003041226,0.01881173,0.006924032,-0.006852623,-1.993703,0.00674376,0.007189401,0.0009697846
1255331,-0.008980655,0.00641771,-1.654856,-0.001706137,-0.003030829,0.01881151,0.007182542,-0.006974541,-1.993756,0.006786388,0.007013023,0.0009956274
1257830,-0.008958384,0.006397406,-1.660838,-0.001686097,-0.003013083,0.01881156,0.007664779,-0.006561789,-1.994128,0.006853966,0.006738924,0.001025648
1260329,-0.00894307,0.006384177,-1.664827,-0.001673111,-0.003002846,0.01881026,0.007649998,-0.006667034,-1.994722,0.00689872,0.006565783,0.001040598
1262828,-0.008920572,0.006364042,-1.670811,-0.001653484,-0.00298788,0.01881017,0.007348791,-0.006756252,-1.994606,0.00695968,0.006321455,0.001045168
