Time_us,angl_accel_z
3599993,-7.57607205032487
3639984,-6.33105652260569
3679998,-5.19548966202364
3720046,-4.33405887522119
3759995,-3.90414873422147
3800038,-3.79366232047294
3840002,-3.76431169944194
3880017,-3.71197282820228
3920012,-3.69505322842495
3959985,-3.64471108592625
4000007,-3.61357534186575
4040009,-3.84638262717604
4080062,-4.10128197477198
4120009,-4.14154864343346
4159988,-4.01899982158757
4200047,-3.84597692307141
4255078,-3.393773904892
4320021,-3.25247433924491
4375147,-3.39007156158641
4439990,-3.54358900937141
4479994,-3.59547808086254
4520027,-3.595655941241
4575068,-3.34721226776133
4639985,-2.95190778437168
4720043,-2.07803972354601
4840002,-1.45024737703876
4935188,-1.74432568561867
5015083,-1.9619663968793
5095072,-1.95776923650757
5200050,-1.46290019144569
5335189,-1.14152715094035
5439986,-1.4660203369571
5559993,-1.3930741752925
5695082,-1.17650646510307
6135183,-0.330445024188823
6400020,0.562924285699462
6639987,0.627568694715852
6815074,0.826415099481685
6959989,1.07200161335347
7120019,1.00339111050984
7239992,1.20325583111212
7359994,1.36678803897679
7495060,1.13550054367568
7599980,1.54383640207013
7695141,1.68963432375405
7959987,-0.718381410603548
8120031,-0.984471852183452
8240021,-1.49110411531403
8320034,-1.80982262310656
8399977,-2.05948553582518
8479999,-2.40504606088568
8535185,-2.63089497803823
8600006,-2.81638833044167
8679996,-2.18872390456523
8895054,-0.723578204838404
8999975,-1.78494999032065
9080018,-2.5632994325145
9135181,-3.20343481457635
9175119,-3.95335740810192
9215104,-4.2440713322698
9255082,-4.2875899837047
9295051,-4.22221797449438
9335107,-3.82110652488823
9399979,-3.21794554176062
9455141,-3.08710768383647
9520021,-2.65716559724608
9575080,-2.71321963569294
9640003,-2.74914600146299
9695068,-3.96044586579656
9735192,-4.36367249806585
9775090,-4.68256495380021
9815088,-4.96556019272651
9855084,-5.11771567906513
9895043,-5.19496950203057
9935194,-5.15711037307155
9975071,-5.07751869507396
10015080,-5.03815626930529
10055148,-5.10518476735555
10095061,-5.24969560478646
10135207,-5.42632639025497
10175094,-5.52902086521159
10215097,-5.55278112042225
10255082,-5.49949736659908
10295049,-5.3547701360311
10335085,-5.24822192446588
10375106,-5.30263271562639
10415082,-5.5569893351834
10455062,-5.83716314594001
10479993,-5.97913755936364
10520045,-6.06379265508833
10559994,-5.90484989797956
10599972,-5.47178129553494
10640004,-4.89365331058204
10680021,-4.34953897283739
10720042,-4.07573273326624
10760014,-4.07514449653829
10799974,-4.22319471000806
10840007,-4.44757399968107
10880068,-4.67499234572847
10920014,-4.72884004795021
10960079,-4.66040416796953
10999996,-4.67474573548453
11040007,-4.6956110732417
11079988,-4.66786217488156
11120020,-4.58540307131824
11159988,-4.44447702847342
11200033,-4.06080950272521
11255149,-3.2566792672049
11320021,-2.58604531111023
11399974,-2.15045561208976
11480020,-2.22597166097939
11560009,-2.18884752557611
11640020,-2.00633047479478
11720056,-1.91326568477622
11799973,-1.93301478254459
11880014,-1.78955163971449
11975079,-1.53936749506397
12095054,-1.30552058220873
12215110,-1.24362883124158
12360008,-1.02875956915104
12495053,-1.10593125326494
12640005,-1.05705058042709
12840011,-0.743506718405674
13079990,0.65377739825899
13279991,-0.786207929626476
13360030,2.06068356902572
13415067,3.01345572944111
13455098,6.74646348483815
13479989,8.96040456132996
13495055,9.70479521069733
13519997,9.69973256800503
13535221,8.93154643919166
13559992,8.17413265063182
13575060,7.70453912276788
13599982,7.05143284115037
13640069,4.35384105384471
13695135,-3.61120277415979
13735235,-6.14771109785486
13760004,-7.08959928154745
13775078,-7.79792487015904
13799985,-8.41914250664487
13815047,-9.12851916030194
13840038,-9.92782538340979
13855088,-10.9177527482002
13880077,-12.0818294233747
13895136,-13.8865798293218
13920070,-15.8535257313762
13935242,-18.3235570760168
13959997,-20.6463951643602
13975063,-22.1607020538022
14000079,-23.4715538173966
14015078,-23.4664523459204
14040063,-23.3221666245696
14055118,-22.5710966056183
14079997,-21.5027069659292
14095058,-19.0140333171984
14120010,-15.8318050197575
14135223,-10.2723666266027
14200022,7.51640661102754
14215127,11.5122558360975
14240068,15.0595895570353
14255091,17.2179411039628
14279999,19.1049929051949
14295052,19.6355275158052
14319979,19.5482397520821
14335209,16.9735039078404
14360032,13.7976757570391
14375080,8.93928179190262
14440051,-5.08923727835592
14455071,-7.96343805552967
14479987,-10.6951336911759
14495074,-12.2399749617216
14520059,-13.6234290095271
14535245,-13.8325486128909
14559995,-13.7097501120745
14575055,-12.2808328061518
14600003,-10.5888550935438
14615053,-7.70971153014894
14720015,3.42487275137499
14760119,6.03258674726998
14799977,7.07317115621372
14840088,6.73751891935172
14880004,5.80159845925679
14919989,4.67447671297378
14975060,3.04330918581089
15120078,1.00029455123089
15240073,1.24940549716189
15375129,1.07594333381039
15479983,1.48092201827691
15560027,2.0417881560623
15655074,1.50520076369717
15800000,-1.06765576546795
15895055,-1.8084646056197
15975061,-1.99363154991317
16055080,-2.00065423726206
16135223,-1.85879837346274
16240062,-1.8035394730112
16319993,-1.98692881017981
16399980,-2.02397335706457
16479980,-2.05580116552484
16559996,-2.30904490970121
16615038,-2.7174840598377
16679986,-3.10417919021322
16735235,-3.35352728133243
16799980,-3.37625110292147
16855087,-3.42289808939302
16920011,-3.54068080726509
16960003,-3.62614386691018
17000072,-3.75473007014244
17040052,-3.91173892190256
17079989,-4.05138896946396
