Time_us,x,y,yaw,V_x,V_y,Gyro_z
10499980,-9.475734,-0.74928,3.167141,-1.031442,-0.1290943,-0.04112668
10599945,-9.581531,-0.761738,3.161815,-1.03098,-0.1231715,-0.04272519
10700004,-9.68414,-0.77085,3.156243,-1.014986,-0.07364097,-0.04826915
10799937,-9.786774,-0.779451,3.147076,-1.033203,-0.06712116,-0.08111484
10899923,-9.888841,-0.788413,3.143486,-1.01313,-0.08684415,-0.04627112
11000028,-9.98998,-0.797909,3.13601,-0.9918193,-0.09780671,-0.06508055
11099947,-10.089487,-0.806871,3.129438,-0.9750526,-0.09935725,-0.06091167
11199965,-10.187443,-0.815066,3.122181,-0.9747304,-0.07227568,-0.06746828
11299992,-10.282685,-0.820166,3.116801,-0.9778503,-0.07069715,-0.06287216
11399927,-10.375489,-0.824883,3.107528,-0.9580789,-0.05362936,-0.08472522
11499963,-10.466677,-0.827741,3.100784,-0.9357664,-0.05347509,-0.07963299
11600001,-10.561831,-0.831498,3.09233,-0.9846524,-0.005829817,-0.08427266
11699936,-10.662555,-0.833213,3.088615,-1.016754,-0.07358596,-0.05768853
11799938,-10.764264,-0.832816,3.079999,-1.034659,0.004461205,-0.09247005
11899998,-10.865405,-0.830887,3.070429,-1.03914,0.02484402,-0.07674046
11999988,-10.964746,-0.827226,3.067982,-1.003692,0.0574703,-0.04668021
12099929,-11.062773,-0.822625,3.065342,-0.9994742,-0.01016127,-0.02901872
12200000,-11.160472,-0.818573,3.059182,-1.001058,0.04606424,-0.06567811
12299930,-11.256297,-0.814169,3.057958,-0.9886222,0.02922486,-0.03415338
12399954,-11.351306,-0.810452,3.054177,-0.9828551,0.02053897,-0.03326681
12500017,-11.445979,-0.80604,3.053113,-0.9548537,0.03036058,-0.02123906
12599950,-11.547085,-0.798806,3.048445,-1.023274,0.07514548,-0.03440938
12699932,-11.652705,-0.78566,3.047894,-1.040284,0.07782741,-0.01887936
12800007,-11.759949,-0.772102,3.046577,-1.017305,0.09855556,0.002049452
12899941,-11.867143,-0.760573,3.047687,-1.01039,0.0605493,0.003193299
12999996,-11.972119,-0.750359,3.052416,-1.021044,0.1093782,0.03744762
13099996,-12.075364,-0.744338,3.0576,-1.006246,0.04278231,0.05642181
13199935,-12.178115,-0.740122,3.064862,-0.9866683,0.09548221,0.06917124
13299934,-12.278814,-0.739219,3.072381,-0.9543801,0.1302158,0.08550454
13400000,-12.379054,-0.735816,3.080427,-0.9711011,0.04473734,0.08274695
13499978,-12.478346,-0.733255,3.087693,-0.9716301,0.03063668,0.06491265
13599967,-12.577127,-0.731326,3.094203,-0.9682675,0.05039958,0.06344485
13700006,-12.673538,-0.729913,3.099356,-0.9637377,0.0627929,0.04226807
13799935,-12.770259,-0.727795,3.105621,-0.9748631,0.04179678,0.05514326
13899925,-12.870227,-0.726197,3.111635,-0.9945844,0.01480806,0.05166703
14000028,-12.972528,-0.728959,3.120266,-1.002262,0.0312761,0.08161748
14099951,-13.076411,-0.733489,3.127934,-0.9969406,0.0227282,0.07514389
14199933,-13.177444,-0.737574,3.135811,-0.9552277,0.01122286,0.07943255
14300004,-13.27721,-0.740929,3.142852,-0.9740555,0.01667567,0.07081629
14399935,-13.371933,-0.745588,3.148494,-0.9428088,-0.01705151,0.06009419
14499985,-13.467163,-0.751022,3.157266,-0.9883212,-0.04308381,0.08079636
14600009,-13.566659,-0.75995,3.163347,-1.04083,-0.03103027,0.06053515
14699930,-13.669009,-0.769932,3.169787,-1.010683,-0.03394715,0.06344901
14799974,-13.768769,-0.77982,3.176233,-1.021354,-0.05893149,0.07512259
14899999,-13.865597,-0.789505,3.184659,-0.9973805,-0.04369271,0.07931879
15000004,-13.961343,-0.802238,3.188034,-0.989588,-0.04087362,0.0320485
15099986,-14.056173,-0.814981,3.192126,-0.9738899,-0.08988229,0.03598558
15200006,-14.153153,-0.832189,3.197132,-0.991508,-0.08628173,0.04301441
15299948,-14.251163,-0.84913,3.198198,-0.9971285,-0.08106941,0.01857696
15399942,-14.348283,-0.869923,3.202132,-0.9771366,-0.1488743,0.01398447
15500019,-14.447483,-0.89038,3.203418,-0.9866558,-0.1037048,0.02309487
15599959,-14.545643,-0.909452,3.205826,-0.980013,-0.09874444,0.02491378
15699935,-14.647943,-0.924852,3.208274,-1.033579,-0.09956285,0.01913371
15800008,-14.753843,-0.944344,3.212517,-1.026565,-0.1475312,0.04548119
15899935,-14.859963,-0.964322,3.213854,-1.00632,-0.1775747,0.009628696
15999999,-14.963553,-0.982194,3.216014,-0.9947734,-0.1309347,0.01928567
16099998,-15.066013,-0.996223,3.215263,-0.9894539,-0.1324281,-0.01375007
16199937,-15.168853,-1.012787,3.214706,-0.9847795,-0.1357704,-0.01628906
16299936,-15.270033,-1.029598,3.213046,-0.9689606,-0.1433536,-0.01585918
16400007,-15.375603,-1.045196,3.212848,-0.994959,-0.1502901,-0.006741906
16499985,-15.484053,-1.060629,3.21127,-1.017979,-0.1525813,-0.02793527
16599941,-15.592223,-1.074856,3.208854,-1.008399,-0.1118757,-0.02911721
16700001,-15.699103,-1.087974,3.204754,-0.994012,-0.1266939,-0.04335468
16799944,-15.805033,-1.099073,3.199468,-0.9835486,-0.1117136,-0.05270628
16899928,-15.909903,-1.110178,3.198787,-0.9954806,-0.08118028,-0.02783778
17000034,-16.010153,-1.12176,3.194282,-0.9721891,-0.09783529,-0.03885487
17099951,-16.110243,-1.133514,3.191193,-1.000649,-0.09419183,-0.04745433
17199976,-16.213193,-1.145193,3.184952,-1.005412,-0.08569745,-0.0596727
17300004,-16.315153,-1.156537,3.180048,-0.9896009,-0.1146832,-0.05085689
17399942,-16.416773,-1.165761,3.173518,-0.9938893,-0.07763319,-0.0640494
17499978,-16.516483,-1.173604,3.168132,-0.9904028,-0.08295486,-0.06276893
17599957,-16.614943,-1.180623,3.1639,-0.9916411,-0.07391644,-0.0511333
17699944,-16.715513,-1.187736,3.158993,-1.022557,-0.07677855,-0.05201914
17799944,-16.817433,-1.194797,3.151866,-1.010238,-0.06608303,-0.06515306
17899957,-16.919703,-1.199918,3.147238,-1.00087,-0.05839937,-0.05263372
18000003,-17.020903,-1.201819,3.141103,-0.983055,-0.0575802,-0.06087076
18099946,-17.120923,-1.201254,3.135636,-0.9784574,-0.02296432,-0.06013957
18199957,-17.216343,-1.201295,3.129076,-0.9722062,-0.03444565,-0.0682174
18299938,-17.312493,-1.2017,3.121007,-1.016401,-0.04623009,-0.08022553
18399974,-17.410333,-1.200236,3.116299,-1.004264,-0.006821441,-0.05335408
18499990,-17.507063,-1.196153,3.110847,-0.9990731,0.04811603,-0.05627767
18599961,-17.604343,-1.190445,3.105098,-0.9797957,-0.002812048,-0.05671334
18699937,-17.700693,-1.185788,3.102361,-0.9629287,-0.003711405,-0.02320163
18799961,-17.799573,-1.183117,3.098867,-0.9821371,0.01155319,-0.03115043
18899945,-17.901603,-1.180367,3.092638,-1.034604,0.04289893,-0.06322215
19000002,-18.005193,-1.179137,3.090456,-1.001078,0.07276006,-0.02614789
19099919,-18.107593,-1.17837,3.088697,-0.9943382,0.0597267,-0.01216082
19199911,-18.210183,-1.178708,3.086916,-0.9942625,0.008062193,-0.0117691
19299911,-18.309853,-1.178543,3.08625,-0.9760194,0.03339848,0.002033225
19399923,-18.409433,-1.173666,3.088703,-1.008402,0.07205794,0.0238438
19499959,-18.510633,-1.168594,3.087613,-1.000991,0.03666077,-0.0001363641
19599957,-18.609593,-1.163069,3.087508,-0.9888691,0.06381705,-0.002183955
19699909,-18.706883,-1.154919,3.09111,-0.9815562,0.06622394,0.02665726
19799923,-18.801693,-1.147078,3.091089,-0.9813845,0.04164598,0.02426136
