Time_us,x,y,yaw,V_x,V_y,Gyro_z
12099325,54.54588,-0.3644838,0.04400332,3.910536,-0.02876096,0.001946215
12199285,54.94437,-0.3759841,0.0441285,3.722115,-0.0356135,0.001991458
12300078,55.3245,-0.3863715,0.04425118,3.522407,-0.04148614,0.002015835
12400038,55.68441,-0.3978591,0.04438381,3.321035,-0.04775478,0.002000654
12499998,56.02102,-0.4081903,0.04450087,3.113656,-0.05315896,0.001928137
12599958,56.33994,-0.419095,0.04462721,2.903072,-0.05845917,0.001932865
12699918,56.63472,-0.4289857,0.04474797,2.687375,-0.06290745,0.002006215
12799878,56.91123,-0.4391683,0.04486581,2.473587,-0.06711507,0.001985738
12899838,57.16317,-0.4483599,0.04496924,2.256922,-0.07042889,0.001971639
12999798,57.39648,-0.4572125,0.04506816,2.038289,-0.07316279,0.001979262
13099758,57.60475,-0.4653279,0.04515944,1.819181,-0.07521866,0.001985587
13199718,57.79455,-0.4729828,0.04522514,1.611403,-0.07604579,0.001927437
13299678,57.96028,-0.4799059,0.04530067,1.401919,-0.07631744,0.002011304
13399638,58.10778,-0.4859142,0.04534579,1.193032,-0.07578094,0.002008296
13499598,58.22972,-0.4914007,0.0453887,0.9788943,-0.07512047,0.001941228
13599558,58.33344,-0.4961849,0.04540682,0.7653955,-0.0736111,0.001981683
